bulan,tahun,minyak,dolar,emas
2,2013,92.05,9660.0,1580.14
3,2013,97.23,9715.0,1596.74
4,2013,93.46,9720.0,1477.1
5,2013,91.97,9790.0,1386.9
6,2013,96.56,9920.0,1234.25
7,2013,105.03,10270.0,1323.1
8,2013,107.65,10910.0,1396.4
9,2013,102.33,11570.0,1327.55
10,2013,96.38,11265.0,1323.8
11,2013,92.72,11955.0,1253.49
12,2013,98.42,12160.0,1205.55
1,2014,97.49,12205.0,1243.8
2,2014,102.59,11604.0,1326.4
3,2014,101.58,11355.0,1284.25
4,2014,99.74,11558.0,1291.9
5,2014,102.71,11670.0,1251.05
6,2014,105.37,11845.0,1327.5
7,2014,98.17,11575.0,1282.35
8,2014,95.96,11685.0,1287.57
9,2014,91.16,12180.0,1209.24
10,2014,80.54,12080.0,1174.42
11,2014,66.15,12199.0,1167.35
12,2014,53.27,12380.0,1183.95
1,2015,48.24,12665.0,1283.55
2,2015,49.76,12920.0,1213.15
3,2015,47.6,13070.0,1183.5
4,2015,59.63,12960.0,1184.37
5,2015,60.3,13223.0,1190.5
6,2015,59.47,13330.0,1172.6
7,2015,47.12,13525.0,1095.65
8,2015,49.2,14045.0,1134.5
9,2015,45.09,14645.0,1115.0
10,2015,46.59,13675.0,1142.38
11,2015,41.65,13830.0,1064.42
12,2015,37.04,13785.0,1061.3
1,2016,33.62,13770.0,1118.04
2,2016,33.75,13367.0,1238.14
3,2016,38.34,13255.0,1232.7
4,2016,45.92,13180.0,1293.74
5,2016,49.1,13655.0,1215.24
6,2016,48.33,13210.0,1322.18
7,2016,41.6,13097.0,1350.91
8,2016,44.7,13265.0,1308.95
9,2016,48.24,13047.0,1315.96
10,2016,46.86,13047.0,1277.38
11,2016,49.44,13550.0,1173.11
12,2016,53.72,13470.0,1151.85
1,2017,52.81,13347.0,1210.63
2,2017,54.01,13331.0,1248.59
3,2017,50.6,13323.0,1249.13
4,2017,49.33,13327.0,1268.15
5,2017,48.32,13321.0,1268.59
6,2017,46.04,13325.0,1241.6
7,2017,50.17,13324.0,1269.55
8,2017,47.23,13342.0,1322.07
9,2017,51.67,13470.0,1279.45
10,2017,54.38,13560.0,1271.58
11,2017,57.4,13524.0,1274.76
12,2017,60.42,13565.0,1302.55
1,2018,64.73,13387.0,1345.1
2,2018,61.64,13740.0,1318.05
3,2018,64.94,13760.0,1325.0
4,2018,68.57,13910.0,1315.36
5,2018,67.04,13890.0,1298.32
6,2018,74.15,14325.0,1253.0
7,2018,68.76,14415.0,1223.83
8,2018,69.8,14725.0,1201.09
9,2018,73.25,14900.0,1192.09
10,2018,65.31,15200.0,1214.54
11,2018,50.93,14300.0,1221.97
12,2018,45.41,14375.0,1282.82
1,2019,53.79,13970.0,1320.94
2,2019,57.22,14060.0,1313.05
3,2019,60.14,14235.0,1292.15
4,2019,63.91,14245.0,1283.6
5,2019,53.5,14270.0,1305.65
6,2019,58.47,14125.0,1409.5
7,2019,58.58,14012.0,1413.8
8,2019,55.1,14180.0,1520.25
9,2019,54.07,14190.0,1472.25
10,2019,54.18,14032.0,1513.36
11,2019,55.17,14100.0,1464.8
12,2019,61.06,13880.0,1517.39
1,2020,51.56,13650.0,1590.2
2,2020,44.76,14340.0,1585.12
3,2020,20.48,16300.0,1571.31
4,2020,18.84,14825.0,1685.05
5,2020,35.49,14575.0,1728.3
6,2020,39.27,14180.0,1781.66
7,2020,40.27,14530.0,1975.89
8,2020,42.61,14560.0,1970.15
9,2020,40.22,14840.0,1885.75
10,2020,35.79,14620.0,1878.95
11,2020,45.34,14090.0,1777.38
12,2020,48.52,14040.0,1897.28
1,2021,52.2,14020.0,1846.49
2,2021,61.5,14240.0,1733.89
3,2021,59.16,14520.0,1707.28
4,2021,63.58,14440.0,1769.19
5,2021,66.32,14275.0,1906.61
6,2021,73.47,14495.0,1770.07
7,2021,73.95,14460.0,1814.09
8,2021,68.5,14265.0,1813.71
9,2021,75.03,14310.0,1756.92
10,2021,83.57,14165.0,1783.39
11,2021,66.18,14320.0,1774.35
12,2021,75.21,14250.0,1828.78
1,2022,88.15,14380.0,1797.03
2,2022,95.72,14365.0,1908.27
3,2022,100.28,14368.0,1937.51
4,2022,104.69,14495.0,1896.83
5,2022,114.67,14580.0,1837.37
6,2022,105.76,14895.0,1807.48
7,2022,98.62,14830.0,1766.22
8,2022,89.55,14840.0,1710.96
9,2022,79.49,15225.0,1659.67
10,2022,86.53,15595.0,1633.12
11,2022,80.56,15730.0,1768.45
12,2022,80.47,15565.0,1824.4
1,2023,80.11,14990.0,1927.41
2,2023,77.05,15250.0,1825.62
